canonical_key,display_name,state_at_creation,established_year,closed_year,is_active,origin_kind,census_years_present,first_census_year,last_census_year,max_area_km2,min_area_km2,area_change_km2,area_km2_1951,area_km2_1961,area_km2_1971,area_km2_1981,area_km2_1991,area_km2_2001,area_km2_2011,area_km2_2021,area_km2_2025
IND-000905,Bid,Maharashtra,2001,,True,NEW,4,2001,2025,10641.279,10421.377,219.903,,,,,,10421.377,10641.279,10603.948,10607.299
IND-000648,Chandrapur,Maharashtra,1991,,True,NEW,5,1991,2025,11364.408,10760.14,604.268,,,,,10760.14,11317.532,11341.805,11355.186,11364.408
IND-000895,Dhule,Maharashtra,2001,,True,NEW,4,2001,2025,7188.686,7137.226,51.46,,,,,,7137.226,7143.08,7188.477,7188.686
IND-000649,Gadchiroli,Maharashtra,1991,,True,NEW,5,1991,2025,14535.809,14309.718,226.091,,,,,14535.809,14535.809,14309.718,14526.962,14506.225
IND-000899,Gondiya,Maharashtra,2001,,True,NEW,4,2001,2025,5297.147,5183.037,114.11,,,,,,5210.464,5200.81,5297.147,5183.037
IND-000900,Hingoli,Maharashtra,2001,,True,NEW,4,2001,2025,4891.058,4619.302,271.756,,,,,,4619.302,4710.435,4891.058,4711.259
IND-000650,Jalna,Maharashtra,1991,2001.0,False,NEW,1,1991,1991,6440.785,6440.785,0.0,,,,,6440.785,,,,
IND-000902,Jalna,Maharashtra,2001,,True,NEW,4,2001,2025,7676.809,7570.774,106.035,,,,,,7570.774,7636.174,7676.013,7676.809
IND-000324,Kolhapur,Maharashtra,1961,,True,NEW,8,1961,2025,8237.179,7676.352,560.827,,8237.179,8237.179,7819.627,7819.554,7819.554,7755.412,7695.332,7676.352
IND-000651,Latur,Maharashtra,1991,,True,NEW,5,1991,2025,7298.66,6671.3,627.36,,,,,6671.3,7298.66,7131.299,7197.352,7203.763
IND-000904,Mumbai,Maharashtra,2001,2011.0,False,NEW,1,2001,2001,70.928,70.928,0.0,,,,,,70.928,,,
IND-001077,Mumbai,Maharashtra,2011,2021.0,False,NEW,1,2011,2011,77.03,77.03,0.0,,,,,,,77.03,,
IND-001257,Mumbai,Maharashtra,2021,2025.0,False,NEW,1,2021,2021,142.158,142.158,0.0,,,,,,,,142.158,
IND-001356,Mumbai City,Maharashtra,2025,,True,NEW,1,2025,2025,64.039,64.039,0.0,,,,,,,,,64.039
IND-000903,Mumbai Suburban,Maharashtra,2001,2011.0,False,NEW,1,2001,2001,351.587,351.587,0.0,,,,,,351.587,,,
IND-001076,Mumbai Suburban,Maharashtra,2011,2021.0,False,NEW,1,2011,2011,402.541,402.541,0.0,,,,,,,402.541,,
IND-001260,Mumbai Suburban,Maharashtra,2021,,True,NEW,2,2021,2025,435.904,431.746,4.158,,,,,,,,435.904,431.746
IND-000325,Nanded,Maharashtra,1961,,True,NEW,8,1961,2025,10612.848,10532.347,80.501,,10612.771,10612.771,10612.772,10612.848,10612.848,10598.865,10535.797,10532.347
IND-000894,Nandurbar,Maharashtra,2001,,True,NEW,4,2001,2025,6054.797,5906.228,148.569,,,,,,6054.797,5906.228,5963.638,5955.598
IND-000326,Osmanabad,Maharashtra,1961,1991.0,False,NEW,3,1961,1981,14358.788,14358.751,0.036,,14358.751,14358.751,14358.788,,,,,
IND-000652,Osmanabad,Maharashtra,1991,,True,NEW,5,1991,2025,7687.532,7575.396,112.136,,,,,7687.532,7687.532,7613.681,7575.396,7576.702
IND-001259,Palghar,Maharashtra,2021,,True,NEW,2,2021,2025,5270.816,5169.629,101.187,,,,,,,,5169.629,5270.816
IND-000460,Parbhani,Maharashtra,1981,2001.0,False,NEW,2,1981,1991,10913.562,10913.549,0.013,,,,10913.562,10913.549,,,,
IND-000901,Parbhani,Maharashtra,2001,,True,NEW,4,2001,2025,6348.787,6128.182,220.605,,,,,,6294.014,6348.787,6128.182,6307.544
IND-000653,Ratnagiri,Maharashtra,1991,,True,NEW,5,1991,2025,8292.851,8280.677,12.174,,,,,8291.044,8291.044,8280.677,8280.898,8292.851
IND-000654,Sindhudurg,Maharashtra,1991,,True,NEW,5,1991,2025,5106.476,5070.277,36.198,,,,,5087.485,5087.485,5070.277,5083.387,5106.476
IND-001258,Thane,Maharashtra,2021,,True,NEW,2,2021,2025,4274.335,4264.018,10.317,,,,,,,,4264.018,4274.335
IND-000897,Washim,Maharashtra,2001,,True,NEW,4,2001,2025,5139.621,5068.708,70.914,,,,,,5068.708,5131.118,5139.621,5132.643
IND-000633,Bishnupur,Manipur,1991,2001.0,False,NEW,1,1991,1991,618.385,618.385,0.0,,,,,618.385,,,,
IND-000782,Bishnupur,Manipur,2001,2011.0,False,NEW,1,2001,2001,437.929,437.929,0.0,,,,,,437.929,,,
IND-001047,Bishnupur,Manipur,2011,2021.0,False,NEW,1,2011,2011,415.873,415.873,0.0,,,,,,,415.873,,
IND-001159,Bishnupur,Manipur,2021,2025.0,False,NEW,1,2021,2021,469.638,469.638,0.0,,,,,,,,469.638,
IND-001323,Bishnupur,Manipur,2025,,True,NEW,1,2025,2025,480.295,480.295,0.0,,,,,,,,,480.295
IND-000461,Chandel,Manipur,1981,2021.0,False,NEW,4,1981,2011,3261.919,3232.36,29.559,,,,3232.361,3232.36,3232.36,3261.919,,
IND-001160,Chandel,Manipur,2021,,True,NEW,2,2021,2025,2119.325,1972.53,146.795,,,,,,,,2119.325,1972.53
IND-001161,Churachandpur,Manipur,2021,,True,NEW,2,2021,2025,2456.538,2435.665,20.873,,,,,,,,2456.538,2435.665
IND-000462,Imphal,Manipur,1981,1991.0,False,NEW,1,1981,1981,2226.778,2226.778,0.0,,,,2226.778,,,,,
IND-000634,Imphal,Manipur,1991,2001.0,False,NEW,1,1991,1991,1060.974,1060.974,0.0,,,,,1060.974,,,,
IND-000785,Imphal East,Manipur,2001,2011.0,False,NEW,1,2001,2001,567.43,567.43,0.0,,,,,,567.43,,,
IND-001050,Imphal East,Manipur,2011,2021.0,False,NEW,1,2011,2011,580.503,580.503,0.0,,,,,,,580.503,,
IND-001162,Imphal East,Manipur,2021,2025.0,False,NEW,1,2021,2021,446.053,446.053,0.0,,,,,,,,446.053,
IND-001350,Imphal East,Manipur,2025,,True,NEW,1,2025,2025,432.858,432.858,0.0,,,,,,,,,432.858
