canonical_key,display_name,state,census_year,area_km2,fill_method,fill_source_ck,fill_confidence
IND-001038,Lower Dibang Valley,Arunachal Pradesh,2001,3676.490346,LINEAGE_BACKFILL,IND-000493|IND-000494,0.7
IND-001038,Lower Dibang Valley,Arunachal Pradesh,2011,3680.743398671867,DIRECT,IND-001038,1.0
IND-001038,Lower Dibang Valley,Arunachal Pradesh,2021,3567.8151833761235,DIRECT,IND-001038,1.0
IND-001038,Lower Dibang Valley,Arunachal Pradesh,2025,3540.7610109003053,DIRECT,IND-001038,1.0
IND-001145,Lower Siang,Arunachal Pradesh,1951,1692.475102,LINEAGE_BACKFILL,IND-000805|IND-001032|IND-001033|IND-001034|IND-001035,0.2281
IND-001145,Lower Siang,Arunachal Pradesh,1961,1692.482552,LINEAGE_BACKFILL,IND-000805|IND-001032|IND-001033|IND-001034|IND-001035,0.2281
IND-001145,Lower Siang,Arunachal Pradesh,1971,1692.482552,LINEAGE_BACKFILL,IND-000805|IND-001032|IND-001033|IND-001034|IND-001035,0.2281
IND-001145,Lower Siang,Arunachal Pradesh,1981,1692.507976,LINEAGE_BACKFILL,IND-000805|IND-001032|IND-001033|IND-001034|IND-001035,0.3259
IND-001145,Lower Siang,Arunachal Pradesh,1991,1692.507355,LINEAGE_BACKFILL,IND-000805|IND-001032|IND-001033|IND-001034|IND-001035,0.343
IND-001145,Lower Siang,Arunachal Pradesh,2001,1692.524763,LINEAGE_BACKFILL,IND-000805|IND-001032|IND-001033|IND-001034|IND-001035,0.49
IND-001145,Lower Siang,Arunachal Pradesh,2011,1750.473199,LINEAGE_BACKFILL,IND-000805|IND-001032|IND-001033|IND-001034|IND-001035,0.7
